id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
65250,ET.GOH.Q4.13.156.284,Maymilehas,250,,14.0276,39.08255,8317.92,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,423,Community,,,,W/Leke,Maekelawi,,,,
65251,ET.GOH.Q4.13.156.285,Enda-agamat,200,,14.10001,39.32022,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,W/Leke,Merieto,,,,
65252,ET.GOH.Q4.13.156.286,Safir,200,,14.07378,39.32419,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,W/Leke,Merieto,,,,
65253,ET.GOH.Q4.13.156.287,May mesreb,300,,14.0735,38.53793,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,T/May chew,May Atsmi,,,,
65254,ET.GOH.Q4.13.156.288,May gundi,100,,14.14834,38.59541,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,T/May chew,May siye,,,,
65255,ET.GOH.Q4.13.156.289,May Hawiye,100,,14.08156,38.58535,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,T/May chew,Hadish Adi,,,,
65256,ET.GOH.Q4.13.156.290,May Shuluk,100,,14.11882,38.60744,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,T/May chew,May siye,,,,
65257,ET.GOH.Q4.13.156.291,grat keshi tamene g/her,250,,14.01122,37.70016,10370.01,,0,,,,,,,,CO,4,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,Asgede tsimbla,dedebit,,,,
51827,ET.GOH.Q4.13.156.007,Gasfa,200,,13.98385,38.82169,8317.92,,0,,,,,,,,CO,3,,1,1207,144,,,,,0,MYCW_OVER_10K,,,423,Community,,,, N/Adet, L/Hudug,,,,
51828,ET.GOH.Q4.13.156.008,May gebero,250,,13.98699,38.8219,8317.92,,0,,,,,,,,CO,3,,1,1207,144,,,,,0,MYCW_OVER_10K,,,423,Community,,,, N/Adet, L/Hudug,,,,
51829,ET.GOH.Q4.13.156.009,Amekti,200,,13.99247,38.8189,8317.92,,0,,,,,,,,CO,3,,1,1207,144,,,,,0,MYCW_OVER_10K,,,423,Community,,,, N/Adet, L/Hudug,,,,
51830,ET.GOH.Q4.13.156.010,Huga,300,,13.95284,38.83987,8317.92,,0,,,,,,,,CO,3,,1,1207,144,,,,,0,MYCW_REC,379,,423,Community,,,, N/Adet, L/Hudug,,,,
51831,ET.GOH.Q4.13.156.011,Mumat Bekli,350,,13.94887,38.81785,8317.92,,0,,,,,,,,CO,3,,1,1207,144,,,,,0,MYCW_NON-REC,,,423,Community,,,, N/Adet, L/Hudug,,,,
