id,deployment_code,community_name,population,cost_estimate,plaque_text,location_type_id,project_type_id,status_id,grant_id,grant_program_id,region,rehab,revenue_category,package_id,fluxx_regrant_id,possible_location_types,state,district,sub_district,system_name,water_point_name,latitude,longitude
7013,ET.GOH.Q2.13.144.100,M/kerini,250,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,T/Maichew,Wuhdet,,,13.71395,38.75658
7014,ET.GOH.Q2.13.144.101,misidad feres,200,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,GENERAL_WATER,128,368,Community,Tigray,T/Maichew,Wuhdet,,,14.00391,39.00951
7015,ET.GOH.Q2.13.144.102,mayaleqti,225,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,GENERAL_WATER,128,368,Community,Tigray,T/Maichew,Wuhdet,,,14.2716,38.93178
7016,ET.GOH.Q2.13.144.103,maysagalu,280,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,GENERAL_WATER,128,368,Community,Tigray,T/Maichew,Wuhdet,,,14.03862,39.04963
7017,ET.GOH.Q2.13.144.104,Tahtaymayanshiti,225,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,T/Maichew,Geterchila,,,14.1839,38.60623
7018,ET.GOH.Q2.13.144.105,Mayadgi,240,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,T/Maichew,Geterchila,,,13.97936,38.94968
7019,ET.GOH.Q2.13.144.106,Maydaero,215,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,T/Maichew,Geterchila,,,13.99021,39.00965
7020,ET.GOH.Q2.13.144.107,Mayzebib,280,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,W/leke,Seguh ,,,14.14617,38.99601
7021,ET.GOH.Q2.13.144.108,Degariba,285,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,W/leke,Seguh ,,,14.19672,38.57697
7022,ET.GOH.Q2.13.144.109,Ketinkalay,265,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,W/leke,Maynebri,,,13.99736,38.98218
7023,ET.GOH.Q2.13.144.110,Mayalekti,245,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,W/leke,Maynebri,,,12.96219,39.41641
7024,ET.GOH.Q2.13.144.111,Tekerakira,300,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,W/leke,Adirgeto,,,13.53119,38.83769
7025,ET.GOH.Q2.13.144.112,Kezihi ,200,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,Mereb leke,May wedi amberay ,,,13.52471,38.83994
7026,ET.GOH.Q2.13.144.113,Ala ,200,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,Mereb leke,Haftom ,,,13.526,38.83925
7027,ET.GOH.Q2.13.144.114,Tora,360,7490.13,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,K/tembein,Dedere,,,14.15564,38.63413
7028,ET.GOH.Q2.13.144.115,Serdi,300,4235.53,mycharity: water,CO,6,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,A/Wenberta,Dibab akoren,,,14.31626,38.57928
7029,ET.GOH.Q2.13.144.116,giratmebae,200,4235.53,mycharity: water,CO,6,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,K/Tembein,D/Genet,,,14.30935,38.99585
7030,ET.GOH.Q2.13.144.117,Betmeskel,250,4235.53,mycharity: water,CO,6,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,T/Abergelle,Jijke,,,14.20502,38.64746
