id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,plaque_text,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
51560,ET.GOH.Q3.13.148.105,Grahuhot,275,,14.17602,39.47278,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Gantafeshum,Gahgot,,,,
51561,ET.GOH.Q3.13.148.106,Tsegena,250,,14.16148,39.47684,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Gantafeshum,Gahgot,,,,
51562,ET.GOH.Q3.13.148.107,Daboyamlolu,295,,14.16599,39.48186,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Gantafeshum,Gahgot,,,,
51563,ET.GOH.Q3.13.148.108,Gesema,305,,14.15124,39.49109,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Gantafeshum,Gahgot,,,,
51564,ET.GOH.Q3.13.148.109,Golgol eindu,265,,14.13785,39.47169,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Gantafeshum,Gahgot,,,,
51565,ET.GOH.Q3.13.148.110,Mayadem,255,,14.14594,39.46359,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Gantafeshum,Gahgot,,,,
51566,ET.GOH.Q3.13.148.111,Adiayemuno,310,,14.29902,39.49232,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Gantafeshum,Golea,,,,
51567,ET.GOH.Q3.13.148.112,Endaemor awdela,350,,14.2882,39.49629,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,228,,417,Community,,,,Gantafeshum,Golea,,,,
51568,ET.GOH.Q3.13.148.113,Maydifo,310,,14.27341,39.4856,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,228,,417,Community,,,,Gantafeshum,Golea,,,,
51576,ET.GOH.Q3.13.148.114,Golgolabyto,290,,14.16024,39.4487,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Gantafeshum,Bahrasihta,,,,
51577,ET.GOH.Q3.13.148.115,Adinenda,310,,14.25232,39.50768,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Gantafeshum,Sasun,,,,
51578,ET.GOH.Q3.13.148.116,Kagatat,290,,14.26421,39.49399,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Gantafeshum,Sasun,,,,
51579,ET.GOH.Q3.13.148.117,Endagewerigis,360,,14.28606,39.4535,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Gantafeshum,Beati mai mesanu,,,,
51580,ET.GOH.Q3.13.148.118,gereb tetealo,300,,12.80135,39.499928,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Endamekoni,shimta,,,,
51581,ET.GOH.Q3.13.148.119,lat health post,400,,12.44042,39.41958,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Ofla,lat,,,,
51582,ET.GOH.Q3.13.148.120,huga,320,,12.48117,39.40078,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Ofla,fala,,,,
51583,ET.GOH.Q3.13.148.121,bonti,400,,12.50723,39.33427,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Ofla,guara,,,,
51584,ET.GOH.Q3.13.148.122,Gelei Anchwa,300,,12.70284,39.56908,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Endamekoni,T/haya,,,,
51585,ET.GOH.Q3.13.148.123,Meda/Tka grat Getachew Bruj,400,,12.69302,39.56202,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Endamekoni,T/haya,,,,
51586,ET.GOH.Q3.13.148.124,Grahamdo,250,,12.75397,39.51264,3640.72,,CO,3,,1,1206,143,,,Tigray,,1,GENERAL_WATER,,,418,Community,,,,Endamekoni,Mekan,,,,
51587,ET.GOH.Q3.13.148.125,Gonder Adem,350,,12.75747,39.50842,5598.39,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,419,Community,,,,Endamekoni,Mekan,,,,
51588,ET.GOH.Q3.13.148.126,Adetla,250,,12.62447,39.52972,5598.39,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,419,Community,,,,Ofla,Hashenge,,,,
51589,ET.GOH.Q3.13.148.127,Edaga-Seni,200,,12.61874,39.49044,5598.39,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,419,Community,,,,Ofla,Hashenge,,,,
51590,ET.GOH.Q3.13.148.128,Shnfa-Sheka,200,,12.6161,39.49055,5598.39,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,419,Community,,,,Ofla,Hashenge,,,,
