id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name
new,ET.RST.Q2.14.162.066,Terer adisala,291,,13.42923,38.95348,,,,,,,The New Community Church Water Changes Everything,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ta_nqua Abergelle,Gera,,
new,ET.RST.Q2.14.162.067,Enda molali,291,,13.38991,38.96669,,,,,,,For Louie,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ta_nqua Abergelle,Gera,,
new,ET.RST.Q2.14.162.068,Lealay mnkirkir,291,,13.39219,38.97396,,,,,,,Neven Subotic Stiftung Danke an KNSK,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ta_nqua Abergelle,Gera,,
new,ET.RST.Q2.14.162.069,grat getachew tesfaye,291,,13.43102,38.96572,,,,,,,"Project: Welldone, Sweden",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ta_nqua Abergelle,Gera,,
new,ET.RST.Q2.14.162.070,Daero,291,,13.40298,39.22178,,,,,,,In loving memory of Susan Schlossberg Hirschhorn,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saha'rty Samre,Mariam Meko',,
new,ET.RST.Q2.14.162.071,Aynimerbi,291,,13.40672,39.22265,,,,,,,The Kessler Family & Kessler Kids MAJiK Foundation,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saha'rty Samre,Mariam Meko',,
new,ET.RST.Q2.14.162.072,Maygene,291,,13.40661,39.1924,,,,,,,In Honour Of Ronnie Harris,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Saha'rty Samre,Mariam Meko',,
new,ET.RST.Q2.14.162.073,Golat,291,,13.95045,39.61739,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Klte Awlae'lo,Negash,,
new,ET.RST.Q2.14.162.074,Giraberbere,291,,13.91787,39.64879,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Klte Awlae'lo,L/A'di K'sanded,,
new,ET.RST.Q2.14.162.075,Gerebgesta,291,,13.83997,39.62751,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Klte Awlae'lo,L/A'di K'sanded,,
new,ET.RST.Q2.14.162.076,Endakenafiz,291,,13.82638,39.62278,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Klte Awlae'lo,L/A'di K'sanded,,
new,ET.RST.Q2.14.162.077,Nearfelsitabia,291,,13.69056,39.56557,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Klte Awlae'lo,Mah'bre Weyni,,
new,ET.RST.Q2.14.162.078,May-shek,291,,14.47936,39.47921,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Sebeya,,
new,ET.RST.Q2.14.162.079,Gra-goras,291,,14.44936,39.49608,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Sebeya,,
new,ET.RST.Q2.14.162.080,Chegaro,291,,14.45552,39.46609,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Sebeya,,
new,ET.RST.Q2.14.162.081,Ketin-grat,291,,14.4874,39.49965,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Sebeya,,
new,ET.RST.Q2.14.162.082,Tsaeda-beati,291,,14.4454,39.43536,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Kilat,,
new,ET.RST.Q2.14.162.083,Tsineto,291,,14.40972,39.42146,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Kilat,,
new,ET.RST.Q2.14.162.084,Tahtay ruba,291,,14.41549,39.43507,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Kilat,,
new,ET.RST.Q2.14.162.085,Daeromugnaf,291,,14.43897,39.44395,,,,,,,"""Give Change to Make Change"" Ethiopia -- 2014 NAUTICA",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Kilat,,
new,ET.RST.Q2.14.162.086,Mekoyta,291,,14.4113,39.52151,,,,,,,"Madi Family Well: Shahin, Yasmin, Arman, Aydenæ",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Hayelom,,
new,ET.RST.Q2.14.162.087,Tsahla,291,,14.41995,39.51625,,,,,,,On behalf of Smile Gen to honor all PDS Moms,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Hayelom,,
new,ET.RST.Q2.14.162.088,Laelay ela,291,,14.41521,39.50131,,,,,,,"Keurig Green Mountain, Inc.",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Hayelom,,
new,ET.RST.Q2.14.162.089,Ruba guho,291,,14.42236,39.52821,,,,,,,"Keurig Green Mountain, Inc.",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Fredashum,,
new,ET.RST.Q2.14.162.090,Zala,291,,14.42698,39.5231,,,,,,,"Keurig Green Mountain, Inc.",,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Fredashum,,
new,ET.RST.Q2.14.162.091,Endagebrial,291,,14.37811,39.40065,,,,,,,Depeche Mode + Hublotæ,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Ambest fkada,,
new,ET.RST.Q2.14.162.092,Gembeba,291,,14.39144,39.39268,,,,,,,Depeche Mode + Hublotæ,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Ambest fkada,,
new,ET.RST.Q2.14.162.093,Maywatot,291,,14.40255,39.39153,,,,,,,Depeche Mode + Hublotæ,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Ambest fkada,,
new,ET.RST.Q2.14.162.094,Maekel golgol,291,,14.35393,39.49447,,,,,,,Depeche Mode + Hublotæ,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Hagereselam,,
new,ET.RST.Q2.14.162.095,Mitswat karsa,291,,14.35139,39.48358,,,,,,,Depeche Mode + Hublotæ,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Hagereselam,,
new,ET.RST.Q2.14.162.096,Ribo,291,,14.36686,39.48243,,,,,,,Depeche Mode + Hublotæ,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Hagereselam,,
new,ET.RST.Q2.14.162.097,Hzawe,291,,14.35892,39.44285,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Kokobtsbah,,
new,ET.RST.Q2.14.162.098,Gra aeman,291,,14.36157,39.44016,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Kokobtsbah,,
new,ET.RST.Q2.14.162.099,Mistaychew,291,,14.37205,39.42588,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Gulomekeda,Kokobtsbah,,
new,ET.RST.Q2.14.162.100,Mai deguau Mai ayni,291,,14.08266,39.38281,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Shelewa,,
new,ET.RST.Q2.14.162.101,Mai deguau agemat,291,,14.07842,39.37692,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Shelewa,,
new,ET.RST.Q2.14.162.102,Mai deguau gira h/mariam,291,,14.07641,39.38008,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Shelewa,,
new,ET.RST.Q2.14.162.103,Mai deguau Mai kebita,291,,14.08566,39.38481,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Shelewa,,
new,ET.RST.Q2.14.162.104,Dabagumbah,291,,14.13871,39.40611,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Debre Bizen,,
new,ET.RST.Q2.14.162.105,Tsihdo,291,,14.11678,39.37877,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Debre Bizen,,
new,ET.RST.Q2.14.162.106,Adi semsemre,291,,14.11707,39.38493,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Debre Bizen,,
new,ET.RST.Q2.14.162.107,Darewya,291,,14.02285,39.34361,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,balada,,
new,ET.RST.Q2.14.162.108,Gira shimneho,291,,14.02556,39.34574,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,balada,,
new,ET.RST.Q2.14.162.109,Gira saesie,291,,14.02707,39.33097,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,balada,,
new,ET.RST.Q2.14.162.110,Agualie,291,,13.97902,39.33412,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Debre selam,,
new,ET.RST.Q2.14.162.111,Adi hiza Tsebary,291,,13.98941,39.34241,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Debre selam,,
new,ET.RST.Q2.14.162.112,Gira abdil,291,,13.95855,39.30226,,,,,,,mycharity: water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ha'wzien,Debre selam,,
